County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,FMNP,Latitude,Longitude,Location Points
Albany,Albany Jewish Community Ctr Farmers' Market,"340 Whitehall RoadAlbany, NY 12208",340 Whitehall Rd,Albany,NY,12208,Linda Finkle,5184386651,http://www.saajcc.org,Thursday  3pm-6pm,May 23 - October 3,Y,42.64815,-73.8077,"340 Whitehall Rd
(42.64815, -73.8077)"
Albany,Altamont Farmers' Market,"Altamont Free Library,181 Main St.",181 Main Street,Altamont,NY,12009,Linda Cure,5184563150,,M/T/TR/F  11am-6pmSat/Sun  10am-2pm,July 1 - September 1,Y,42.70149,-74.03256,"181 Main Street
(42.70149, -74.03256)"
Albany,Capital District Farmers' Market in Menands,"Pavillion at 381 BroadwayMenands, wholesale",381 Broadway,Menands,NY,12204,Elizabeth Krug,5188579505,,Saturday  9am-1pm,May 4 - October 26,Y,42.69621,-73.72001,"381 Broadway
(42.69621, -73.72001)"
Albany,CDPHP Farmers' Market,"CDPHP prkg lot, off Washington Ave.500 Patroon Creek Blvd., Albany",500 Patroon Creek Bvld.,Albany,NY,12206,Lori Cammett,5186415623,http://www.cdphp.com,Thursday  11am-1:30pm,May 23 - October 3,Y,42.68485,-73.80513,"500 Patroon Creek Bvld.
(42.68485, -73.80513)"
Albany,Cohoes Farmers' Market,"Remsen St. lot,185 Remsen St.",185 Remsen St,Cohoes,NY,12047,Diane Conroy-LaCivita,5182382232,http://www.cohoesfarmersmarket.com,Friday  4pm-7pm,June 7 - October 4,Y,42.77161,-73.70068,"185 Remsen St
(42.77161, -73.70068)"
Albany,Colonie Farmers' Market,"580 Albany Shaker Rd.,Loudonville",580 Albany Shaker Rd,Colonie,NY,12211,Alicia Osur,5187882760,http://www.colonie.org,Saturday  9am-1pm,May 18 - September 14,Y,42.71016,-73.78029,"580 Albany Shaker Rd
(42.71016, -73.78029)"
Albany,Delaware Area Neighborhood Farmers' Market,"Delaware Branch Library,331 Delaware Ave., Albany",331 Delaware Ave,Albany,NY,12209,Louise McNeilly,5184320516,,Tuesday  4pm-7pm11/6-11/19 3pm-6pm,June 11 - November 19,Y,42.64305,-73.77824,"331 Delaware Ave
(42.64305, -73.77824)"
Albany,Delmar Farmers' Market,"Methodist Church Lot, 428 Kenwood Ave., Delmar 12054",428 Kenwood Ave,Delmar,NY,12054,Annette Van Auken,5187322991,,Tuesday  2:30pm-6pm,May 7 - November 26,Y,42.62265,-73.83631,"428 Kenwood Ave
(42.62265, -73.83631)"
Albany,Downtown Albany Farmers' Market,"Pine St. & Broadway,Off Maiden Lane, Albany, NY 12207",Broadway and Pine St.,Albany,NY,12207,Annette Van Auken,5187322991,,Thursday  11am-2pm,May 9 - October 31,Y,42.65026,-73.75045,"Broadway and Pine St.
(42.65026, -73.75045)"
Albany,Empire State Plaza Farmers' Market,Empire State Plaza(Winter - South Concourse),156 State St,Albany,NY,12210,Jason Rumph,5184732982,http://www.empirestateplaza.org,Wed 10am-2pmFri 5/1-10/16 10-2,Year-round,Y,42.65093,-73.75709,"156 State St
(42.65093, -73.75709)"
