"First Name","Last Name","Team","Sport"
"Joba","Chamberlain","Yankees","Baseball"
"Preston","Claiborne","Yankees","Baseball"
"Phil","Hughes","Yankees","Baseball"
"Shawn","Kelley","Yankees","Baseball"
"Hiroki","Kuroda","Yankees","Baseball"
"Boone","Logan","Yankees","Baseball"
"Ivan","Nova","Yankees","Baseball"
"Andy","Pettitte","Yankees","Baseball"
"Mariano","Rivera","Yankees","Baseball"
"David","Robertson","Yankees","Baseball"
"CC","Sabathia","Yankees","Baseball"
"Adam","Warren","Yankees","Baseball"
"Austin","Romine","Yankees","Baseball"
"Chris","Stewart","Yankees","Baseball"
"David","Adams","Yankees","Baseball"
"Robinson","Cano","Yankees","Baseball"
"Brent","Lillibridge","Yankees","Baseball"
"Eduardo","Nunez","Yankees","Baseball"
"Lyle","Overbay","Yankees","Baseball"
"Brett","Gardner","Yankees","Baseball"
"Melky","Mesa","Yankees","Baseball"
"Alfonso","Soriano","Yankees","Baseball"
"Ichiro","Suzuki","Yankees","Baseball"
"Vernon","Wells","Yankees","Baseball"
"Travis","Hafner","Yankees","Baseball"
